dataset,model,seed,accuracy,f1,precision,recall,eval_loss,global_step
Twitter17,Faster2Bert,2022,0.660453808752026,0.6106289352064095,0.640633035339886,0.5959616800923896,1.0993455808896284,896.0
Twitter17,Faster2Bert,11122,0.5891410048622366,0.5332045962446377,0.592567344512598,0.5197148426681258,0.967710976417248,896.0
Twitter17,FasterBert,0,0.6661264181523501,0.6345751780886005,0.6470600846986095,0.6254656944922761,1.112593015226034,896.0
Twitter17,FasterBert,42,0.6717990275526742,0.6397807720829145,0.6584239906478458,0.6283378248693713,1.1845700565056922,896.0
Twitter17,FasterBert,199,0.6823338735818476,0.6623103602778615,0.6741342582816827,0.6536594808832844,1.1290381726546166,896.0
Twitter17,FasterBert,2022,0.6952998379254457,0.672347586297685,0.6857536763300462,0.6621176273361845,1.0504931994737723,896.0
Twitter17,FasterBert,11122,0.6645056726094003,0.6281164515788974,0.6427571011303068,0.6179374620402412,1.0666246987306154,896.0
Twitter17,FasterBertAtt,0,0.6912479740680713,0.6737930434025511,0.6874843225469597,0.6632273418484563,1.0537233417614913,896.0
Twitter17,FasterBertAtt,42,0.673419773095624,0.6549908372038535,0.6625260312979396,0.6486492141539771,1.0149163254178488,896.0
Twitter17,FasterBertAtt,199,0.6701782820097245,0.6476794100013877,0.6623990701768746,0.6391486967296999,0.7369499061352167,896.0
Twitter17,FasterBertAtt,2022,0.6969205834683955,0.6780570955359643,0.6905079282390769,0.6684322642820142,0.9838727871194864,896.0
Twitter17,FasterBertAtt,11122,0.6726094003241491,0.6513781652400055,0.6667776939896756,0.641352301286405,0.8509320020675659,896.0
Twitter17,FasterBertTFN,0,0.6758508914100486,0.6467654556679531,0.6572491788077777,0.6391888584283687,2.0605602429296153,896.0
Twitter17,FasterBertTFN,42,0.679902755267423,0.6480897441678456,0.671975971941209,0.633683165749901,2.326483136186233,896.0
Twitter17,FasterBertTFN,199,0.6596434359805511,0.6184836191833302,0.6470476077571302,0.6029447164314363,1.4739215885981536,896.0
Twitter17,FasterBertTFN,2022,0.6628849270664505,0.6409798425974047,0.650155028438348,0.6336027159253904,2.2717655847469964,896.0
Twitter17,FasterBertTFN,11122,0.6385737439222042,0.5935645741834564,0.6220972825623988,0.5832756403999886,2.465860068415984,896.0
Twitter17,FasterRCNN,0,0.5510534846029174,0.4751519670046625,0.5263641228541934,0.47048787318983676,1.116990130681258,896.0
Twitter17,FasterRCNN,42,0.5591572123176661,0.4927370065227965,0.5369912508854685,0.4815908128913237,1.1444035180104084,896.0
Twitter17,FasterRCNN,199,0.5623987034035657,0.5096086289255841,0.5320216745140312,0.4996272716223759,1.1902739604314168,896.0
Twitter17,FasterRCNN,2022,0.5591572123176661,0.4913535046788923,0.5387375601364259,0.4801884194732235,1.1663677046696346,896.0
Twitter17,FasterRCNN,11122,0.5769854132901134,0.524995662619329,0.5504140576622133,0.5141304490743761,1.1344154209662707,896.0
Twitter17,Res22Bert,0,0.6766612641815235,0.6536984344569753,0.6731077361888587,0.6403098038878547,1.0139132430538154,896.0
Twitter17,Res22Bert,42,0.6993517017828201,0.6819110213926988,0.6968354161923331,0.6749782208123064,0.9966345824874364,896.0
Twitter17,Res22Bert,199,0.6709886547811994,0.6429836514665409,0.6753466342794173,0.6245465268011278,1.2148155068548827,896.0
Twitter17,Res22Bert,2022,0.6912479740680713,0.6678966813730978,0.6898827948008277,0.653127391053912,1.132447865911019,896.0
Twitter17,Res22Bert,11122,0.6823338735818476,0.6728725889923526,0.6784275986592522,0.6679530210110162,1.1576936067296908,896.0
Twitter17,Res2Bert,0,0.6847649918962723,0.6582621754238916,0.6761959547921004,0.6500110876630848,0.8161839798857005,896.0
Twitter17,Res2Bert,42,0.6847649918962723,0.662424493109886,0.6658555499975358,0.6593286649678226,1.0172083721711085,896.0
Twitter17,Res2Bert,199,0.6831442463533225,0.6613432955945865,0.6842196544338172,0.646190858843387,1.1693254501009598,896.0
Twitter17,Res2Bert,2022,0.6815235008103727,0.6541938752789025,0.6773733094702505,0.639323419082985,1.1578195095062256,896.0
Twitter17,Res2Bert,11122,0.6693679092382496,0.6227680337185575,0.6640545393802723,0.6046127333403121,0.8430995280161883,896.0
Twitter17,ResBert,0,0.6807131280388979,0.6528833235757922,0.661675163707684,0.6457536526074593,1.0682087735487864,896.0
Twitter17,ResBert,42,0.6888168557536467,0.6578167647338287,0.668863756660711,0.6493325951672118,1.0631143274979713,896.0
Twitter17,ResBert,199,0.6750405186385737,0.6590729398950166,0.668270855680869,0.6519702663517113,1.1094186007976532,896.0
Twitter17,ResBert,2022,0.6790923824959482,0.6522499913777109,0.6661347921118214,0.6419741965511004,1.0310749690502117,896.0
Twitter17,ResBert,11122,0.6726094003241491,0.6439935952875481,0.667260650798318,0.6291755734610147,1.0767058446907845,896.0
Twitter17,ResBertAtt,0,0.6685575364667747,0.645672463359075,0.6584867427500908,0.6366636442143808,0.9742451548958436,896.0
Twitter17,ResBertAtt,42,0.6685575364667747,0.6274494118102191,0.6637739010321231,0.6100181692704765,0.8872775026620963,896.0
Twitter17,ResBertAtt,199,0.6855753646677472,0.6695274107704462,0.6790170553753981,0.6616767968546268,1.0996409744406357,896.0
Twitter17,ResBertAtt,2022,0.6912479740680713,0.6586248331108143,0.6967493830843915,0.638442664181277,0.9028768105766712,896.0
Twitter17,ResBertAtt,11122,0.686385737439222,0.6694153798297098,0.6786376915805449,0.6625553182096091,1.0956931289954064,896.0
Twitter17,ResBertTFN,0,0.6758508914100486,0.6489437276442479,0.6573172386783267,0.6421688522553511,1.5465270741245685,896.0
Twitter17,ResBertTFN,42,0.6790923824959482,0.6532175198045895,0.6683440038250349,0.6422573934189431,1.484764559337726,896.0
Twitter17,ResBertTFN,199,0.6742301458670988,0.6566436839253315,0.6703899154437707,0.6461429640159608,1.422293096398696,896.0
Twitter17,ResBertTFN,2022,0.6515397082658023,0.6184388476706711,0.6309244226935203,0.6102345072349213,1.6270956637767644,896.0
